Quarter,q,year,Series,Total
Q1 2009,Q1,2009,Marijuana Law Violations,81
Q2 2009,Q2,2009,Marijuana Law Violations,82
Q3 2009,Q3,2009,Marijuana Law Violations,98
Q4 2009,Q4,2009,Marijuana Law Violations,49
Q1 2010,Q1,2010,Marijuana Law Violations,83
Q2 2010,Q2,2010,Marijuana Law Violations,56
Q3 2010,Q3,2010,Marijuana Law Violations,44
Q4 2010,Q4,2010,Marijuana Law Violations,63
Q1 2011,Q1,2011,Marijuana Law Violations,62
Q2 2011,Q2,2011,Marijuana Law Violations,53
Q3 2011,Q3,2011,Marijuana Law Violations,41
Q4 2011,Q4,2011,Marijuana Law Violations,29
Q1 2012,Q1,2012,Crimes Related to Marijuana,51
Q1 2012,Q1,2012,Marijuana Law Violations,49
Q2 2012,Q2,2012,Crimes Related to Marijuana,66
Q2 2012,Q2,2012,Marijuana Law Violations,45
Q3 2012,Q3,2012,Marijuana Law Violations,41
Q3 2012,Q3,2012,Crimes Related to Marijuana,61
Q4 2012,Q4,2012,Marijuana Law Violations,43
Q4 2012,Q4,2012,Crimes Related to Marijuana,42
Q1 2013,Q1,2013,Marijuana Law Violations,29
Q1 2013,Q1,2013,Crimes Related to Marijuana,49
Q2 2013,Q2,2013,Crimes Related to Marijuana,62
Q2 2013,Q2,2013,Marijuana Law Violations,87
Q3 2013,Q3,2013,Crimes Related to Marijuana,72
Q3 2013,Q3,2013,Marijuana Law Violations,177
Q4 2013,Q4,2013,Marijuana Law Violations,193
Q4 2013,Q4,2013,Crimes Related to Marijuana,67
Q1 2014,Q1,2014,Crimes Related to Marijuana,66
Q1 2014,Q1,2014,Marijuana Law Violations,174
Q2 2014,Q2,2014,Marijuana Law Violations,152
Q2 2014,Q2,2014,Crimes Related to Marijuana,70
Q3 2014,Q3,2014,Crimes Related to Marijuana,68
Q3 2014,Q3,2014,Marijuana Law Violations,211
