Quarter,q,year,Series,Total
Q1 2009,1,2009,Cultivation,6
Q1 2009,1,2009,Sale,47
Q1 2009,1,2009,Possession,28
Q2 2009,2,2009,Sale,56
Q2 2009,2,2009,Cultivation,5
Q2 2009,2,2009,Possession,21
Q3 2009,3,2009,Sale,38
Q3 2009,3,2009,Cultivation,9
Q3 2009,3,2009,Possession,51
Q4 2009,4,2009,Sale,22
Q4 2009,4,2009,Possession,23
Q4 2009,4,2009,Cultivation,4
Q1 2010,1,2010,Sale,49
Q1 2010,1,2010,Possession,30
Q1 2010,1,2010,Cultivation,4
Q2 2010,2,2010,Cultivation,5
Q2 2010,2,2010,Possession,17
Q2 2010,2,2010,Sale,34
Q3 2010,3,2010,Sale,25
Q3 2010,3,2010,Possession,17
Q3 2010,3,2010,Cultivation,2
Q4 2010,4,2010,Sale,35
Q4 2010,4,2010,Possession,20
Q4 2010,4,2010,Cultivation,8
Q1 2011,1,2011,Cultivation,6
Q1 2011,1,2011,Sale,31
Q1 2011,1,2011,Possession,25
Q2 2011,2,2011,Possession,24
Q2 2011,2,2011,Sale,22
Q2 2011,2,2011,Cultivation,7
Q3 2011,3,2011,Possession,13
Q3 2011,3,2011,Cultivation,6
Q3 2011,3,2011,Sale,22
Q4 2011,4,2011,Possession,15
Q4 2011,4,2011,Cultivation,4
Q4 2011,4,2011,Sale,10
Q1 2012,1,2012,Possession,22
Q1 2012,1,2012,Sale,22
Q1 2012,1,2012,Cultivation,6
Q2 2012,2,2012,Sale,17
Q2 2012,2,2012,Possession,25
Q2 2012,2,2012,Cultivation,3
Q3 2012,3,2012,Sale,22
Q3 2012,3,2012,Possession,12
Q3 2012,3,2012,Cultivation,7
Q4 2012,4,2012,Cultivation,2
Q4 2012,4,2012,Possession,10
Q4 2012,4,2012,Sale,31
Q1 2013,1,2013,Possession,12
Q1 2013,1,2013,Sale,19
Q1 2013,1,2013,Cultivation,0
Q2 2013,2,2013,Cultivation,2
Q2 2013,2,2013,Sale,18
Q2 2013,2,2013,Possession,67
Q3 2013,3,2013,Cultivation,4
Q3 2013,3,2013,Possession,157
Q3 2013,3,2013,Sale,16
Q4 2013,4,2013,Sale,13
Q4 2013,4,2013,Possession,180
Q4 2013,4,2013,Cultivation,0
Q1 2014,1,2014,Cultivation,6
Q1 2014,1,2014,Possession,151
Q1 2014,1,2014,Sale,18
Q2 2014,2,2014,Cultivation,5
Q2 2014,2,2014,Possession,130
Q2 2014,2,2014,Sale,20
